Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	
22.40	88.00	7.52
22.30	88.00	7.56
22.40	88.00	7.54
22.40	88.00	7.48
22.40	88.00	7.59
22.40	88.00	7.46
22.30	88.00	7.61
22.40	88.00	7.44
22.40	88.00	7.56
22.30	88.00	6.29
22.40	88.00	7.63
22.40	88.00	7.50
22.40	88.00	7.54
22.40	88.00	6.57
22.40	88.00	7.44
22.40	88.00	7.61
22.30	87.00	7.50
22.30	88.00	7.61
22.40	88.00	7.48
22.30	88.00	7.59
22.40	88.00	6.49
22.30	87.00	7.61
22.30	88.00	7.48
22.30	87.00	7.61
22.40	87.00	6.54
22.30	87.00	7.56
22.30	87.00	7.56
22.30	87.00	7.44
22.40	87.00	8.09
22.40	87.00	7.48
22.30	87.00	7.61
22.30	87.00	7.46
22.30	87.00	7.61
22.30	87.00	7.48
22.30	87.00	7.56
22.30	87.00	6.56
22.30	87.00	7.50
22.30	87.00	7.61
22.30	87.00	7.65
22.40	87.00	7.44
22.40	87.00	7.50
22.30	87.00	7.54
22.30	87.00	7.56
22.30	87.00	7.48
22.30	87.00	7.61
22.30	87.00	7.48
22.30	87.00	7.59
22.30	87.00	7.48
22.30	87.00	7.63
22.30	87.00	7.44
22.40	87.00	7.63
22.30	87.00	7.44
22.30	87.00	7.59
22.40	87.00	7.54
22.30	87.00	7.33
22.30	87.00	7.54
22.30	87.00	7.50
22.30	87.00	7.59
22.40	87.00	7.48
22.40	87.00	7.61
22.40	87.00	7.46
22.30	87.00	7.54
22.40	87.00	6.53
22.30	87.00	7.61
22.40	87.00	7.50
22.30	87.00	7.63
22.40	87.00	7.52
22.30	87.00	7.56
22.30	87.00	6.57
22.40	87.00	7.48
22.30	87.00	7.63
22.30	87.00	7.48
22.40	87.00	7.59
22.30	87.00	7.46
22.40	87.00	7.63
22.30	87.00	7.46
22.30	87.00	7.59
22.40	87.00	7.50
22.30	87.00	7.63
22.30	87.00	7.48
22.30	87.00	7.63
22.30	87.00	7.50
22.40	87.00	7.65
22.40	87.00	7.50
22.40	87.00	7.44
22.40	87.00	7.56
22.40	87.00	7.48
22.30	87.00	7.56
22.40	87.00	6.32
22.40	87.00	7.85
22.40	87.00	7.54
22.30	87.00	7.65
22.40	87.00	7.40
22.40	87.00	7.44
22.30	87.00	7.56
22.30	87.00	7.46
22.40	87.00	7.65
22.40	87.00	7.50
22.30	87.00	7.50
22.30	87.00	7.42
22.40	87.00	7.67
22.30	87.00	7.63
22.40	87.00	7.59
22.30	87.00	7.12
22.30	87.00	7.78
22.40	87.00	7.48
22.30	87.00	7.33
22.30	87.00	7.52
22.30	87.00	7.59
22.30	87.00	7.48
22.30	87.00	7.85
22.30	87.00	7.48
22.30	87.00	7.52
22.30	87.00	7.63
22.30	87.00	7.40
22.30	87.00	7.63
22.30	87.00	7.48
22.30	87.00	7.63
22.30	87.00	8.12
22.30	87.00	7.59
22.30	87.00	7.48
22.30	87.00	7.56
22.30	87.00	7.50
22.30	87.00	7.46
22.30	87.00	7.44
22.30	87.00	7.40
22.30	87.00	7.63
22.30	87.00	7.46
22.30	87.00	7.50
22.30	87.00	7.52
22.30	87.00	7.52
22.30	87.00	7.40
22.30	87.00	7.59
22.30	87.00	7.44
22.30	86.00	7.38
22.30	87.00	7.63
22.30	87.00	7.48
22.30	87.00	7.61
22.30	87.00	7.40
22.30	87.00	7.50
22.30	87.00	7.52
22.30	87.00	7.54
22.30	87.00	7.52
22.30	86.00	6.46
22.30	87.00	7.50
22.30	87.00	7.33
22.20	87.00	7.54
22.30	87.00	7.42
22.30	86.00	7.52
22.30	87.00	7.42
22.30	86.00	7.50
22.30	87.00	7.56
22.30	87.00	7.42
22.30	86.00	7.50
22.30	87.00	7.44
22.30	86.00	7.46
22.20	87.00	7.44
22.30	86.00	7.31
22.30	86.00	7.50
22.30	87.00	7.08
22.30	86.00	7.54
22.20	86.00	6.45
22.20	86.00	7.54
22.30	86.00	7.29
22.30	86.00	7.52
22.30	86.00	7.42
22.30	86.00	7.48
22.30	86.00	7.48
22.20	86.00	7.38
22.30	86.00	7.54
22.30	86.00	7.38
22.30	86.00	7.52
22.30	86.00	7.38
22.20	86.00	7.50
22.20	86.00	7.46
22.30	86.00	7.46
22.30	86.00	7.52
22.30	86.00	7.35
22.20	86.00	7.54
22.30	86.00	7.40
22.30	86.00	7.52
22.20	86.00	7.40
22.30	86.00	7.50
22.20	86.00	7.85
22.30	86.00	7.92
22.30	86.00	7.44
22.30	86.00	7.44
22.30	86.00	7.18
22.30	86.00	7.44
22.20	86.00	7.42
22.30	86.00	7.29
22.30	86.00	7.48
22.20	86.00	7.31
22.30	86.00	7.54
22.20	86.00	7.31
22.20	86.00	7.48
22.20	86.00	7.72
22.30	86.00	7.44
22.30	86.00	7.44
22.30	86.00	7.44
22.30	86.00	7.52
22.30	86.00	7.40
22.30	86.00	7.50
22.30	86.00	6.46
22.30	86.00	7.50
22.20	86.00	7.38
22.20	86.00	7.50
22.20	86.00	6.51
22.20	86.00	7.40
22.30	86.00	7.50
22.20	86.00	7.88
22.30	86.00	7.01
22.30	86.00	7.46
22.30	86.00	7.52
22.30	86.00	7.38
22.20	86.00	7.48
22.20	86.00	6.51
22.30	86.00	7.46
22.30	86.00	7.38
22.20	86.00	7.50
22.30	86.00	7.40
22.30	86.00	7.40
22.20	86.00	7.54
22.30	86.00	7.38
22.20	86.00	7.50
22.30	86.00	7.40
22.30	86.00	7.50
22.30	86.00	7.38
22.30	86.00	7.54
22.20	86.00	7.38
22.20	86.00	7.44
22.30	86.00	7.67
22.30	87.00	7.69
22.30	86.00	6.48
22.20	86.00	7.46
22.20	86.00	6.48
22.20	86.00	7.42
22.30	86.00	7.52
22.20	86.00	7.35
22.30	86.00	7.54
22.20	86.00	7.40
22.20	86.00	7.50
22.20	86.00	7.40
22.20	86.00	7.56
22.20	86.00	6.45
22.30	86.00	7.52
22.20	86.00	7.38
22.20	86.00	7.54
22.30	86.00	7.38
22.20	86.00	7.48
22.20	86.00	7.61
22.30	86.00	7.40
22.30	86.00	7.50
22.20	87.00	6.45
22.20	86.00	7.69
22.30	87.00	7.31
22.30	86.00	7.20
22.30	86.00	7.44
22.30	86.00	7.78
22.00	86.00	7.27
22.30	87.00	7.78
22.10	87.00	7.92
22.30	86.00	7.20
22.30	86.00	7.67
22.30	86.00	7.38
22.20	86.00	7.52
