Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	
22.10	83.00	8.12
22.10	83.00	7.78
22.10	83.00	7.95
22.10	83.00	8.22
22.00	83.00	6.86
22.10	83.00	8.04
22.10	83.00	7.95
22.10	83.00	7.48
22.10	83.00	8.14
22.10	83.00	7.65
22.10	83.00	7.33
22.10	83.00	8.00
22.10	83.00	7.67
22.10	83.00	7.69
22.10	83.00	7.67
22.10	83.00	7.81
22.10	83.00	7.61
22.10	83.00	7.81
22.10	83.00	6.69
22.10	83.00	7.83
22.00	83.00	7.69
22.10	83.00	7.78
22.10	83.00	6.74
22.10	83.00	7.83
22.00	83.00	6.71
22.10	83.00	7.78
22.10	84.00	7.67
22.10	83.00	7.69
22.00	83.00	7.74
22.10	83.00	7.69
22.00	83.00	7.81
22.10	83.00	7.63
22.10	83.00	7.83
22.10	83.00	7.65
22.00	83.00	7.83
22.10	83.00	7.65
22.10	83.00	7.76
22.00	83.00	7.67
22.10	84.00	7.76
21.90	84.00	7.67
22.10	84.00	7.76
22.00	84.00	7.76
22.10	84.00	7.72
22.10	84.00	7.76
22.00	83.00	8.12
22.10	84.00	7.74
22.10	83.00	7.63
22.10	83.00	7.69
22.10	83.00	7.74
22.10	83.00	7.67
22.00	83.00	7.74
22.10	83.00	7.69
22.00	83.00	7.76
22.00	83.00	7.72
22.10	83.00	7.72
22.00	83.00	7.69
22.00	83.00	7.69
22.10	83.00	7.67
22.10	83.00	7.76
22.10	83.00	7.65
22.10	83.00	7.74
22.00	83.00	7.72
21.90	83.00	7.78
22.10	83.00	7.69
22.10	83.00	7.81
22.00	83.00	6.69
22.10	83.00	7.81
22.00	83.00	7.46
22.10	83.00	7.76
22.10	83.00	7.69
22.10	83.00	7.76
22.00	83.00	7.69
22.10	83.00	7.81
22.10	83.00	7.63
22.10	83.00	7.81
22.10	83.00	7.67
22.10	83.00	7.59
22.10	83.00	7.81
22.10	83.00	7.65
22.10	83.00	7.76
22.10	83.00	7.67
22.10	83.00	7.72
22.10	83.00	8.12
22.10	83.00	7.54
22.10	83.00	7.90
22.00	83.00	7.52
22.10	83.00	7.88
22.10	83.00	7.67
22.10	83.00	7.78
22.10	83.00	7.69
22.10	83.00	7.67
22.10	84.00	8.22
22.10	84.00	8.00
22.10	84.00	6.74
22.10	84.00	7.81
22.10	83.00	7.61
22.10	84.00	7.76
22.10	83.00	7.67
22.00	84.00	7.78
22.10	84.00	6.93
22.10	84.00	7.81
22.10	84.00	7.65
22.10	84.00	7.72
22.10	84.00	8.07
22.10	84.00	7.56
22.10	84.00	7.83
22.10	84.00	7.59
22.00	84.00	7.81
22.10	84.00	7.63
22.10	84.00	7.81
22.10	84.00	7.67
22.10	84.00	7.72
22.10	84.00	7.56
22.10	84.00	7.78
22.00	84.00	7.65
22.10	84.00	7.72
22.10	83.00	7.67
22.10	84.00	7.83
22.10	84.00	7.65
22.10	84.00	7.81
22.10	83.00	7.65
22.00	83.00	7.72
22.00	83.00	7.65
22.10	83.00	7.81
22.10	83.00	7.69
22.10	83.00	7.72
22.10	84.00	7.59
22.10	84.00	7.61
22.00	84.00	7.76
22.00	84.00	7.63
22.10	84.00	7.67
22.10	83.00	7.65
22.10	84.00	7.81
22.10	84.00	7.65
22.10	83.00	7.76
22.10	83.00	7.67
22.10	83.00	7.78
22.10	83.00	7.69
22.10	83.00	7.78
22.00	83.00	7.63
22.10	83.00	7.72
22.00	83.00	7.54
22.00	83.00	7.78
22.10	83.00	7.65
22.00	83.00	7.69
22.10	83.00	7.74
22.10	83.00	7.72
22.00	83.00	7.74
22.00	82.00	7.72
22.10	82.00	7.67
22.00	82.00	7.61
22.00	82.00	7.69
22.10	82.00	7.56
22.10	82.00	7.67
22.10	82.00	7.65
22.10	82.00	7.74
22.10	82.00	7.76
22.10	82.00	7.69
22.00	82.00	7.69
22.10	82.00	7.69
22.10	82.00	7.67
22.00	82.00	7.56
22.10	82.00	7.72
22.10	82.00	7.56
22.00	82.00	7.83
22.10	83.00	7.67
22.10	83.00	7.56
22.10	83.00	7.61
22.00	83.00	7.63
22.10	83.00	7.78
22.10	82.00	6.71
22.10	82.00	7.72
22.00	82.00	7.59
22.10	82.00	7.81
22.00	82.00	6.71
22.00	82.00	7.69
22.00	82.00	7.67
22.00	82.00	7.78
22.00	82.00	6.74
22.00	82.00	7.74
22.00	82.00	7.67
22.00	82.00	7.74
22.10	82.00	7.67
22.10	82.00	7.95
22.10	81.00	7.74
22.10	81.00	7.61
22.10	82.00	8.12
22.10	82.00	7.67
22.10	82.00	7.72
22.00	82.00	7.59
22.00	82.00	7.63
22.10	82.00	7.74
22.10	82.00	7.59
22.10	82.00	7.67
22.00	82.00	7.56
22.10	82.00	7.74
22.10	82.00	7.65
22.10	82.00	7.83
22.10	82.00	7.52
22.10	82.00	7.61
22.10	82.00	7.59
22.10	82.00	7.69
22.10	82.00	7.65
22.10	82.00	7.52
22.10	82.00	7.67
22.10	82.00	7.56
22.10	82.00	7.72
22.00	82.00	7.59
22.10	82.00	7.81
22.10	83.00	7.56
22.10	83.00	7.69
22.00	83.00	7.20
22.10	83.00	6.69
22.10	83.00	7.63
22.00	83.00	7.65
22.00	83.00	7.74
22.10	83.00	7.61
22.10	83.00	7.67
22.00	83.00	7.56
22.00	83.00	7.67
22.10	83.00	7.56
22.10	83.00	7.72
22.10	83.00	13.45
22.10	82.00	7.83
22.00	79.00	7.88
22.00	77.00	7.81
21.90	76.00	7.90
22.00	75.00	7.76
22.00	75.00	7.90
21.90	75.00	7.78
21.90	75.00	7.92
22.00	75.00	7.69
22.00	75.00	7.88
22.00	75.00	7.76
22.00	75.00	7.88
22.00	75.00	7.81
22.00	75.00	7.88
22.00	76.00	7.76
22.00	76.00	7.92
22.00	76.00	7.76
22.10	77.00	7.88
22.00	77.00	8.29
21.90	77.00	7.76
22.10	77.00	7.90
22.00	77.00	7.76
22.00	77.00	7.92
22.10	78.00	7.85
22.10	78.00	7.83
22.10	78.00	7.88
22.10	78.00	6.79
22.10	79.00	7.95
22.10	79.00	7.76
22.10	79.00	7.92
22.10	79.00	7.90
22.10	79.00	7.78
22.10	79.00	7.92
22.10	79.00	6.77
22.10	79.00	7.90
22.10	79.00	7.78
22.10	79.00	7.92
22.10	79.00	7.76
22.10	79.00	7.88
22.10	79.00	8.17
22.10	80.00	7.76
22.10	80.00	7.83
22.20	80.00	7.48
22.20	80.00	7.90
22.10	80.00	7.76
22.20	80.00	7.90
22.10	80.00	7.78
22.10	80.00	7.88
22.10	80.00	8.32
22.10	80.00	7.78
22.10	80.00	7.90
22.10	80.00	6.86
22.10	80.00	7.88
22.20	79.00	6.84
22.10	79.00	7.92
22.10	80.00	7.74
22.10	80.00	7.92
22.10	80.00	7.78
22.20	79.00	7.88
22.10	79.00	7.78
22.10	79.00	6.88
22.10	79.00	7.78
22.10	79.00	7.83
22.10	79.00	7.83
22.10	79.00	7.78
22.10	79.00	7.88
22.10	79.00	7.74
22.10	79.00	7.90
22.10	79.00	7.83
22.10	79.00	7.90
22.10	80.00	7.72
22.10	80.00	7.92
22.10	80.00	7.81
22.20	80.00	7.72
22.10	80.00	7.92
22.20	80.00	7.78
22.10	80.00	7.90
22.10	80.00	7.76
22.20	80.00	7.92
22.10	80.00	7.78
22.10	80.00	7.74
22.10	80.00	7.95
22.10	80.00	7.76
22.20	80.00	7.95
22.10	80.00	7.76
22.20	80.00	7.83
22.20	80.00	7.88
22.20	81.00	6.81
22.10	81.00	7.92
22.20	81.00	7.74
22.10	81.00	7.88
22.10	81.00	7.67
22.20	81.00	7.67
22.20	81.00	8.17
22.20	81.00	6.76
22.20	82.00	7.65
21.80	82.00	7.83
22.10	82.00	7.92
22.10	82.00	8.24
22.20	82.00	8.14
22.20	82.00	7.59
22.10	82.00	7.59
22.20	82.00	7.76
22.10	82.00	7.90
22.20	82.00	7.81
22.10	82.00	7.83
22.10	82.00	7.88
22.10	82.00	7.76
22.20	82.00	8.07
22.10	82.00	6.83
22.10	82.00	7.95
22.20	82.00	7.78
22.20	82.00	7.83
22.10	83.00	7.83
22.10	83.00	7.81
22.10	83.00	7.85
22.10	83.00	6.77
22.10	82.00	8.14
22.20	82.00	8.02
22.20	82.00	7.90
22.10	82.00	7.74
22.10	82.00	7.85
22.20	82.00	7.88
22.10	82.00	7.83
22.10	82.00	7.97
22.20	82.00	7.48
22.00	82.00	7.50
22.00	82.00	8.07
22.10	82.00	7.01
22.20	82.00	8.19
22.20	82.00	7.74
22.20	83.00	7.92
22.10	82.00	8.14
22.10	83.00	7.42
22.20	82.00	7.76
22.20	83.00	7.69
22.20	83.00	7.95
22.10	83.00	6.76
22.10	83.00	7.90
22.10	83.00	7.76
22.10	83.00	7.88
22.10	83.00	7.40
22.20	82.00	8.02
22.20	83.00	7.88
22.10	82.00	6.79
22.10	82.00	7.90
22.10	82.00	7.76
22.10	82.00	7.95
22.00	82.00	7.76
22.10	82.00	7.95
22.10	82.00	7.83
22.10	83.00	7.81
22.10	83.00	7.88
22.10	83.00	7.78
22.10	83.00	7.92
22.10	83.00	7.72
22.10	83.00	7.92
22.10	82.00	6.74
22.10	82.00	7.95
22.10	82.00	7.40
22.10	82.00	7.90
22.10	82.00	7.85
22.10	82.00	7.83
22.10	82.00	7.90
22.10	82.00	6.81
22.10	82.00	7.95
22.10	82.00	7.78
22.00	83.00	7.90
22.10	83.00	7.74
22.10	83.00	7.95
22.10	83.00	7.74
22.10	83.00	6.88
22.10	83.00	7.81
22.10	83.00	7.46
22.10	83.00	7.85
22.10	83.00	7.78
22.10	83.00	7.90
22.10	83.00	7.78
22.10	83.00	7.90
22.10	83.00	6.77
22.10	83.00	7.92
22.00	83.00	7.76
22.10	83.00	7.92
22.10	83.00	7.85
22.10	82.00	7.81
22.10	82.00	7.83
22.10	82.00	7.74
22.10	82.00	7.92
22.10	82.00	7.78
22.10	82.00	7.88
22.10	82.00	7.76
22.10	82.00	7.95
22.10	83.00	7.83
22.10	82.00	7.83
22.10	83.00	7.92
22.10	83.00	7.14
22.10	83.00	7.92
22.10	83.00	7.78
22.10	83.00	7.97
22.10	83.00	7.83
22.10	83.00	7.88
22.10	83.00	7.88
22.10	83.00	7.78
22.10	83.00	7.92
22.10	82.00	7.78
22.10	82.00	7.90
22.10	82.00	6.79
22.10	82.00	7.97
22.10	82.00	7.78
22.10	82.00	7.85
22.10	82.00	7.85
22.10	82.00	7.78
22.10	82.00	7.92
22.10	82.00	7.78
22.10	82.00	7.90
22.10	82.00	7.78
22.10	82.00	7.92
22.00	82.00	7.78
22.10	82.00	7.85
22.10	82.00	7.83
22.00	82.00	7.85
22.10	82.00	8.43
22.10	82.00	7.65
22.10	82.00	7.35
22.10	82.00	7.81
22.10	82.00	7.90
22.10	82.00	7.81
22.10	82.00	7.29
22.10	82.00	7.90
22.00	82.00	6.76
22.10	82.00	7.92
22.00	82.00	7.76
22.10	82.00	7.97
22.10	82.00	7.74
22.10	82.00	7.90
22.10	82.00	7.78
22.10	82.00	7.83
22.00	82.00	7.88
22.00	82.00	6.79
22.10	82.00	7.90
22.10	82.00	7.78
22.10	82.00	7.92
22.10	82.00	7.72
22.10	82.00	7.95
22.10	82.00	7.76
22.10	83.00	7.88
22.10	83.00	7.83
22.10	83.00	7.76
22.00	83.00	7.90
22.10	83.00	7.72
22.10	83.00	7.92
22.10	83.00	7.83
22.10	83.00	6.83
22.10	82.00	7.90
22.10	82.00	6.81
22.10	82.00	7.92
22.00	82.00	6.84
22.10	82.00	7.95
22.10	83.00	7.74
22.10	83.00	7.85
22.10	83.00	7.83
22.10	83.00	7.85
22.10	83.00	7.90
22.10	83.00	7.81
22.10	82.00	7.92
22.10	83.00	7.81
22.00	82.00	7.90
22.10	82.00	8.07
22.10	83.00	7.90
22.00	83.00	7.78
22.10	82.00	7.92
22.10	82.00	7.78
22.10	82.00	7.85
22.10	82.00	7.85
22.10	82.00	7.85
22.10	82.00	7.85
22.00	82.00	7.76
22.10	82.00	7.92
22.10	82.00	7.78
22.10	82.00	6.79
22.10	82.00	7.65
22.10	82.00	8.07
22.10	82.00	7.44
22.10	82.00	7.85
22.10	82.00	7.90
22.10	82.00	7.78
22.10	82.00	7.92
22.00	82.00	7.81
22.10	82.00	7.92
22.10	82.00	7.76
22.10	82.00	7.92
22.10	82.00	7.81
22.10	82.00	7.83
22.10	82.00	7.83
22.10	82.00	6.84
22.10	82.00	7.88
22.10	82.00	7.81
22.10	82.00	7.95
22.10	82.00	7.72
22.10	82.00	7.92
22.00	82.00	7.81
22.10	82.00	7.90
22.10	82.00	7.88
22.10	82.00	7.78
22.10	82.00	8.27
22.10	82.00	7.92
22.10	82.00	7.88
22.10	82.00	7.74
22.10	82.00	7.78
22.10	82.00	7.90
22.10	82.00	7.76
22.10	83.00	7.92
22.10	83.00	7.81
22.10	82.00	7.90
22.10	83.00	7.78
22.10	83.00	7.88
22.10	82.00	7.88
22.10	82.00	7.83
22.10	82.00	7.92
22.10	82.00	7.83
22.10	82.00	7.90
22.10	82.00	7.74
22.10	82.00	7.95
22.10	82.00	7.76
22.10	82.00	7.92
22.10	82.00	7.83
22.20	82.00	7.83
22.10	82.00	7.83
22.10	82.00	7.81
22.10	82.00	7.90
22.10	82.00	7.67
22.10	82.00	7.88
22.10	82.00	8.40
21.90	82.00	8.40
22.10	82.00	8.04
22.10	82.00	8.04
22.10	82.00	7.69
22.10	82.00	7.46
22.10	82.00	7.56
22.10	82.00	7.81
22.10	82.00	7.92
22.10	82.00	6.79
22.10	82.00	7.95
22.10	82.00	7.81
22.00	82.00	7.74
22.10	82.00	7.90
22.10	82.00	8.17
22.10	82.00	7.63
22.10	82.00	8.37
22.10	82.00	7.90
22.10	82.00	7.78
22.10	82.00	7.88
22.10	82.00	7.76
22.10	82.00	7.81
22.10	82.00	7.78
22.00	82.00	7.81
22.10	82.00	7.90
22.10	82.00	6.77
22.10	82.00	7.92
22.10	82.00	7.88
22.10	82.00	7.81
22.10	82.00	7.88
22.10	82.00	7.78
22.10	82.00	7.78
22.10	82.00	7.78
22.00	82.00	7.67
22.10	82.00	7.83
22.10	82.00	7.76
22.10	81.00	7.81
22.00	81.00	7.65
22.10	81.00	7.95
22.00	82.00	7.74
22.10	82.00	7.74
22.10	82.00	7.88
22.10	82.00	7.78
22.10	82.00	7.95
22.20	82.00	7.78
22.10	82.00	7.90
22.10	82.00	7.65
22.10	82.00	7.97
22.10	82.00	8.12
22.10	82.00	7.76
22.10	81.00	7.81
22.10	82.00	7.72
22.00	82.00	7.76
22.10	82.00	6.81
22.10	82.00	7.92
22.10	82.00	6.77
22.10	82.00	7.83
22.10	82.00	7.56
22.10	82.00	6.83
22.00	82.00	7.74
22.10	82.00	7.72
22.10	82.00	7.81
22.10	81.00	7.69
22.00	81.00	7.83
22.10	82.00	7.65
22.10	82.00	8.00
22.10	82.00	7.81
22.10	82.00	7.67
22.10	82.00	7.81
22.10	82.00	7.81
22.10	82.00	7.83
22.10	82.00	7.65
22.10	82.00	7.81
22.10	82.00	7.72
22.20	82.00	7.72
22.10	82.00	7.81
22.10	82.00	7.69
22.10	82.00	7.81
22.10	82.00	7.65
22.10	82.00	7.92
22.10	82.00	7.72
22.10	83.00	7.90
22.00	83.00	7.69
22.00	83.00	7.81
22.10	83.00	7.65
22.10	83.00	7.90
22.10	83.00	7.78
22.10	82.00	7.90
22.10	82.00	7.63
22.00	82.00	7.72
22.10	82.00	7.76
22.10	82.00	7.69
22.10	82.00	7.83
22.10	82.00	7.69
22.00	82.00	7.81
22.10	82.00	7.74
22.10	82.00	7.78
22.10	82.00	7.65
22.10	82.00	7.81
22.00	82.00	7.63
22.10	82.00	7.83
22.10	82.00	7.67
22.10	82.00	7.81
22.10	82.00	8.07
22.10	82.00	7.81
22.10	82.00	7.72
21.90	82.00	6.79
22.10	82.00	7.81
22.10	82.00	7.72
22.00	82.00	7.76
22.10	81.00	7.72
22.10	81.00	7.76
22.00	81.00	7.50
22.10	81.00	8.19
22.00	80.00	7.29
22.10	81.00	7.74
22.10	81.00	7.69
22.10	81.00	7.83
22.00	81.00	7.76
22.10	81.00	7.74
22.00	80.00	7.81
21.90	80.00	7.67
22.00	80.00	7.81
22.00	79.00	7.69
22.00	79.00	7.81
22.00	79.00	7.67
22.00	80.00	7.90
21.90	80.00	7.67
22.00	80.00	7.83
22.00	80.00	7.69
22.00	80.00	7.81
22.00	80.00	7.65
22.00	80.00	7.81
22.00	80.00	7.65
22.00	80.00	7.83
21.90	80.00	7.69
21.90	80.00	7.83
22.00	80.00	7.31
22.00	81.00	8.22
22.00	81.00	7.67
22.00	81.00	7.76
22.00	82.00	7.72
22.00	82.00	7.74
22.00	82.00	7.76
22.10	82.00	7.85
22.10	82.00	7.81
22.10	82.00	7.67
22.00	82.00	6.84
22.00	82.00	7.72
22.00	82.00	7.76
22.00	82.00	7.81
22.10	82.00	7.67
22.00	82.00	7.83
22.00	82.00	6.71
22.00	82.00	7.85
22.00	82.00	7.69
22.00	82.00	7.83
22.00	82.00	7.65
22.00	82.00	7.83
21.90	82.00	7.65
22.10	82.00	7.83
22.00	82.00	7.65
22.00	82.00	7.76
22.00	82.00	7.67
22.00	82.00	6.83
22.00	82.00	7.76
22.00	82.00	7.72
22.00	82.00	7.76
22.00	82.00	7.69
22.00	82.00	7.78
22.00	82.00	7.72
22.00	82.00	7.78
22.00	83.00	6.74
22.00	82.00	7.83
22.00	82.00	7.67
22.00	83.00	6.81
22.00	83.00	7.52
22.00	83.00	7.63
22.00	83.00	7.81
22.10	83.00	7.67
22.00	83.00	7.38
22.10	83.00	6.74
22.00	83.00	7.83
22.00	83.00	8.12
22.00	83.00	8.17
22.10	83.00	7.67
22.10	83.00	7.83
22.10	83.00	7.67
22.00	83.00	7.69
22.00	83.00	7.76
22.00	83.00	6.79
21.90	83.00	7.85
21.90	83.00	7.67
22.00	83.00	7.83
22.00	83.00	8.29
22.10	83.00	7.76
22.00	83.00	7.69
22.00	83.00	7.76
22.00	83.00	7.74
22.00	83.00	7.33
21.90	83.00	8.04
22.00	83.00	7.72
21.90	83.00	7.83
22.00	82.00	7.67
22.00	82.00	6.84
22.00	82.00	7.76
22.00	82.00	7.69
22.00	82.00	7.81
22.00	82.00	7.69
22.00	82.00	7.81
22.00	82.00	6.72
22.00	82.00	7.85
21.90	82.00	7.67
22.00	82.00	7.83
22.00	82.00	7.67
22.00	82.00	7.83
22.00	82.00	7.72
22.00	82.00	7.76
21.90	82.00	7.76
22.00	82.00	7.72
22.00	82.00	7.81
21.90	82.00	7.29
22.00	82.00	8.17
22.00	82.00	7.65
22.00	82.00	7.78
22.00	82.00	7.74
22.00	81.00	8.35
22.00	82.00	7.72
22.00	82.00	7.08
22.00	82.00	7.78
22.00	82.00	7.67
21.90	82.00	6.84
21.90	82.00	7.83
22.00	82.00	7.65
22.00	82.00	7.81
22.00	82.00	7.63
22.00	82.00	7.74
21.90	83.00	7.76
21.90	82.00	7.69
21.90	82.00	7.81
22.00	82.00	7.69
22.00	82.00	7.83
22.00	83.00	7.63
21.90	83.00	7.76
22.00	83.00	7.78
22.00	83.00	7.67
22.00	83.00	7.78
22.00	83.00	7.67
22.00	83.00	7.83
21.90	83.00	6.76
22.00	83.00	7.83
22.00	83.00	7.74
22.00	83.00	7.74
21.90	83.00	7.78
22.00	83.00	7.69
22.00	83.00	8.07
22.00	83.00	8.32
22.00	83.00	7.72
22.00	83.00	7.48
22.00	83.00	7.42
22.00	83.00	7.81
22.00	83.00	7.90
21.90	83.00	7.63
22.00	82.00	8.24
22.00	82.00	7.78
21.90	82.00	7.69
21.90	82.00	7.81
22.00	82.00	7.67
22.00	82.00	7.76
21.90	82.00	7.72
21.90	82.00	7.74
22.00	82.00	7.76
22.00	82.00	7.69
21.90	82.00	7.81
22.00	82.00	7.67
22.00	82.00	7.83
21.90	82.00	7.69
21.90	82.00	7.76
21.90	82.00	7.81
22.00	82.00	7.67
22.00	82.00	7.81
21.90	82.00	7.69
22.00	82.00	7.78
21.90	82.00	7.63
22.00	82.00	6.83
21.90	82.00	7.78
22.00	82.00	7.67
22.00	82.00	7.81
21.90	82.00	7.69
21.90	81.00	8.07
22.00	81.00	7.67
22.00	81.00	7.76
21.90	81.00	7.76
22.00	81.00	7.69
22.00	81.00	7.76
22.00	81.00	6.77
22.00	80.00	7.81
22.00	80.00	7.63
22.00	80.00	7.83
22.00	80.00	6.77
21.90	80.00	7.81
22.00	80.00	7.65
22.00	80.00	7.67
22.00	80.00	7.69
22.00	80.00	7.81
22.00	80.00	7.69
22.00	80.00	7.72
21.90	80.00	7.78
22.00	80.00	7.72
22.00	80.00	7.83
22.00	80.00	7.65
22.00	80.00	7.81
21.90	80.00	7.72
22.00	80.00	7.74
22.00	80.00	7.74
22.00	80.00	7.74
22.00	80.00	7.76
21.90	80.00	7.69
22.00	80.00	7.83
22.00	80.00	7.69
22.00	80.00	7.78
22.00	80.00	7.72
22.00	80.00	7.74
22.00	81.00	7.78
22.00	81.00	7.74
22.00	80.00	7.78
22.10	80.00	7.69
22.00	80.00	7.81
22.00	80.00	7.65
22.00	80.00	8.32
22.00	81.00	7.22
22.00	81.00	7.33
22.10	80.00	8.00
22.00	80.00	8.12
22.10	80.00	8.32
21.90	80.00	7.67
22.00	80.00	7.78
21.90	80.00	6.72
21.90	80.00	7.85
22.00	80.00	7.63
22.00	80.00	7.81
22.00	80.00	7.69
